#,Symbol,Name,Market Cap (US $),Price (US $),Circulating Supply,Volume (24h), 1h (%), 24h (%), 7d (%)
72, ODE ,ODEM,47266764,0.216818,218002386,967725,-0.25,3.91,-14.86
73, MOAC ,MOAC,46688195,0.74745,62463334,57893,-0.51,-12.98,-36.88
74, WTC ,Waltonchain,43703083,1.08,40354509,6208173,-0.28,-22.27,-47.95
75, ETP ,Metaverse ETP,42736347,0.796849,53631685,3048248,-1.28,-26.31,-70.76
76, GXS ,GXChain,41075112,0.684585,60000000,9309946,-0.26,-16.35,-37.05
77, MITH ,Mithril,39481123,0.099108,398362726,7856866,-0.67,-23.62,-55.36
78, MGO ,MobileGo,38880656,0.388812,99998615,20758681,0.73,3.84,-10.57
79, WAN ,Wanchain,38864330,0.366118,106152493,1343968,-0.33,-18.6,-46.13
80, ARK ,Ark,38303220,0.359326,106597537,653136,-0.25,-18.62,-28.28
81, MONA ,MonaCoin,38118872,0.596489,63905434,2238325,-0.05,-25.4,-46.22
82, HC ,HyperCash,37927866,0.871308,43529781,643603,-0.05,-11.25,-25.7
83, PIVX ,PIVX,37436947,0.65932,56781166,235903,-0.3,-14.04,-37
84, XIN ,Mixin,36677396,82.51,444502,3978,-0.39,-14.39,-35.3
85, QKC ,QuarkChain,36535138,0.045575,801649919,6245357,0.93,-1.38,-0.19
86, BNT ,Bancor,36400270,0.639838,56889807,1785153,-0.21,-12.97,-39.18
87, RDD ,ReddCoin,35764111,0.001241,28808713174,329821,-0.11,-16.16,-36.38
88, RVN ,Ravencoin,34459644,0.014868,2317651979,4132851,-0.25,-14.48,-44.4
89, THETA ,Theta Token,33867424,0.047937,706502689,853904,0,-16.04,-30.96
90, AION ,Aion,33769291,0.12856,262673279,2898828,-0.36,-20.4,-53.6
91, ZEN ,Horizen,33377019,6.38,5228538,705575,-0.66,-19.06,-44.79
92, DCN ,Dentacoin,32868527,0.000101,325226613094,44733,-0.74,-17.13,-41.76
93, DGD ,DigixDAO,32855222,16.43,2000000,284997,-0.27,-16.44,-46.16
94, SRN ,SIRIN LABS Token,32806285,0.066704,491820906,1178644,-0.76,-17.9,-47.64
95, DGTX ,Digitex Futures,32268327,0.044128,731250000,368599,-0.79,-13.85,-33.89
96, MCO ,Crypto.com,31936831,2.02,15793831,7057065,-0.15,-12.32,-44.84
97, LRC ,Loopring,31800157,0.040305,788984491,763207,-0.21,-14.64,-42.65
98, LKY ,Linkey,31752571,0.635051,50000000,91342,0.93,-2.36,13.82
99, CMT ,CyberMiles,31658709,0.041406,764598429,1033312,0.08,-12.61,-36.85
100, POLY ,Polymath,31414994,0.10956,286737107,2316666,-0.56,-18.92,-47.86
101, BOS ,BOScoin,30913107,0.067667,456838751,63382,-0.17,-14.34,-38.13
102, ELF ,aelf,30507156,0.108954,280000000,2764162,-0.58,-17.84,-51.41
103, VERI ,Veritaseum,30264200,14.86,2036645,464308,-0.12,-11.55,-35.7
104, NAS ,Nebulas,29860951,0.656285,45500000,3718657,-0.22,-13.03,-39.95
105, XZC ,Zcoin,29496763,5.12,5757841,435587,-0.33,-15.44,-38.76
106, PAY ,TenX,29444324,0.269272,109347861,338140,-0.77,-16.86,-41.23
107, GUSD ,Gemini Dollar,29349777,0.995054,29495657,5385736,0.19,-0.91,-1.4
108, NXT ,Nxt,29198689,0.029228,998999942,419162,-0.16,-15.81,-40.79
109, POWR ,Power Ledger,28701968,0.073483,390595382,1785981,-0.42,-18.72,-41.6
110, XPX ,ProximaX,27961175,0.004586,6097456550,2079875,0.09,-17.85,5.51
111, DROP ,Dropil,27293096,0.001278,21360929868,302838,-0.44,-20.76,-41.28
112, ELA ,Elastos,26488116,2.76,9599802,1537661,-0.13,-15.18,-51.32
113, BTCP ,Bitcoin Private,26485838,1.29,20524490,109340,-0.43,-15.65,-28.63
114, LOOM ,Loom Network,26368358,0.043603,604730326,1173924,-0.43,-18.2,-46.97
115, NSD ,Nasdacoin,26353412,1.41,18706120,71087,-0.7,-17.21,-47.19
116, SLT ,Smartlands,25221205,4.94,5100896,426701,-0.38,-4.28,-13.32
117, DRGN ,Dragonchain,24949353,0.104644,238421940,728521,-0.05,-11.25,-34.36
118, NEC ,Nectar,24816502,0.301343,82353022,3072,-0.08,-8.79,-18.28
119, WICC ,WaykiChain,24578192,0.117039,210000000,2226249,-0.4,-14.37,-39.04
120, FUN ,FunFair,24115432,0.004494,5365813789,257907,-0.6,-20.35,-46.48
121, BHPC ,BHPCash,23210111,0.687773,33746752,6633602,0.23,-12.37,-26.01
122, CENNZ ,Centrality,22059212,0.027526,801382336,78209,0.68,-7.41,-29.56
123, GAS ,Gas,22037520,2.18,10128375,590273,-0.57,-19.67,-42.76
124, EDO ,Eidoo,20955045,0.716131,29261461,620389,0.18,-7.5,-30.5
125, KNC ,Kyber Network,20908597,0.15588,134132697,1120761,-0.57,-18.12,-42.99
126, ENG ,Enigma,20638577,0.275783,74836171,432653,-0.55,-19.3,-40.62
127, FSN ,Fusion,20442786,0.688198,29704811,1093474,-0.1,-16.89,-28.13
128, BIX ,Bibox Token,20058871,0.195917,102384714,1209661,-0.39,-13.29,-30.4
129, XET ,ETERNAL TOKEN,19984808,0.294197,67930001,114683,0.54,-16.41,-50.64
130, GVT ,Genesis Vision,19877524,4.49,4426883,1782340,-0.32,-18.32,-40.23
131, GO ,GoChain,19750492,0.030518,647183426,1523614,-0.38,-19.99,-52.01
132, BRD ,Bread,19365034,0.218237,88733978,114319,-0.54,-23.43,-28.03
133, TKY ,THEKEY,19230202,0.0038,5060038287,138805,-0.21,-14.57,-32.33
134, CVC ,Civic,19154232,0.055892,342699967,544660,-0.46,-16.01,-43.3
135, ICN ,Iconomi,18951553,0.191565,98930340,3008,-0.72,-18.77,-33.32
136, SMART ,SmartCash,18785795,0.017827,1053773052,437375,0.05,-9.55,-6.17
137, OCN ,Odyssey,18497595,0.003894,4750000000,2004360,-0.88,-16.85,-44.4
138, OSA ,Optimal Shelf...,18480936,0.058013,318565452,4767315,-0.97,-15.23,-32.37
139, NULS ,Nuls,18471646,0.461791,40000000,9856689,-0.36,-16,-40.1
140, SYS ,Syscoin,18085015,0.033254,543849916,156294,-0.04,-17.88,-48.84
141, STORJ ,Storj,17976314,0.132386,135787439,366926,-0.64,-18.55,-40.16
142, DENT ,Dent,17800753,0.001032,17241387101,291800,0,-15.85,-43.67
143, GRS ,Groestlcoin,17744309,0.248623,71370480,1245453,-0.35,-14.21,-33.63
144, ENJ ,Enjin Coin,17641805,0.023178,761158535,1185859,-0.56,-14.69,-39.16
145, KIN ,Kin,17361926,2.3E-05,756097560976,97738,0.1,-7.66,-39.69
146, SXDT ,Spectre.ai Di...,17268673,0.210405,82073519,7886,0.26,38.22,-32.7
147, PPC ,Peercoin,17236993,0.687713,25064231,167852,0.06,-13.47,-36.99
148, EDR ,Endor Protocol,17222872,0.025118,685685058,212080,-0.51,-17.23,-44.08
149, GBYTE ,Byteball Bytes,16991012,25.63,662811,25084,-0.31,-19.32,-35.22
150, SALT ,SALT,16786228,0.203623,82437970,647796,-0.5,-20.49,-52.35
151, AGI ,SingularityNET,16528946,0.030628,539673260,217617,0.23,-13.45,-37.66
152, RHOC ,RChain,16364489,0.04378,373789868,188019,-0.12,-14.92,-47.67
153, CTXC ,Cortex,16231374,0.108359,149792458,4361664,-0.65,-17.38,-47.58
154, BITCNY ,bitCNY,16207633,0.141743,114345521,15346588,0.06,-1.14,0.07
155, TEN ,Tokenomy,16010856,0.080054,200000000,370565,-0.52,-11.17,-35.09
156, ARB ,ARBITRAGE,15726027,3.61,4359122,7497,-0.84,-19.55,-53.14
157, NTY ,Nexty,15642860,0.000105,148308320936,44843,0.24,6.42,10.78
158, RLC ,iExec RLC,15621764,0.195099,80070793,229723,-0.72,-18.92,-44.94
159, DTR ,Dynamic Tradi...,15422732,0.012662,1218054044,1090,-0.59,-18.85,-52.64
160, SUB ,Substratum,15320793,0.04,383021000,134209,-0.32,-18.67,-49.03
161, CND ,Cindicator,15218823,0.010525,1445976590,260647,-0.4,-20.83,-45.01
162, C20 ,CRYPTO20,15009101,0.371879,40360122,10960,0.07,-12.34,-35.52
163, GBC ,Gold Bits Coin,14900194,0.14061,105968611,78755,-0.08,2.15,-61.25
164, STORM ,Storm,14898547,0.003297,4518781114,597222,-0.74,-18.6,-47.71
165, REQ ,Request Network,14834107,0.02033,729658688,260984,-0.16,-16.14,-45.22
166, EMC ,Emercoin,14774961,0.350796,42118422,120096,-0.38,-20.27,-52.22
167, CREDO ,Credo,14531361,0.026426,549891703,1552,2.11,-20.85,-30.2
168, VITAE ,Vitae,14423679,1.45,9977095,13495,0.16,-10.6,-22.99
169, NXS ,Nexus,14280457,0.239172,59707886,186431,0.19,-16.41,-49.76
170, TPAY ,TokenPay,13679183,0.87257,15676889,181617,-0.21,-15.61,-32.67
171, EURS ,STASIS EURS,13634049,1.11,12291000,675025,-0.02,-1.5,-5.45
172, IQ ,Everipedia,13498822,0.002996,4506302133,144179,-0.43,-16.35,-50.79
173, BCZERO ,Buggyra Coin ...,13452475,0.009544,1409460286,25281,-0.44,-19.51,12.02
174, SAN ,Santiment Net...,13448446,0.214624,62660371,141725,0.06,-15.06,-49
175, WWB ,Wowbit,13368338,0.048126,277777778,867345,-0.09,-6.28,-24.19
176, GTO ,Gifto,13367115,0.025135,531819169,5598699,-0.31,-18.21,-45.12
177, MAN ,Matrix AI Net...,13315908,0.088773,150000000,1802213,-0.61,-20.75,-49.44
178, BFT ,BnkToTheFuture,13177528,0.020917,629989999,111319,-0.34,-14.46,-43.49
179, CS ,Credits,13111324,0.086013,152434130,498196,-0.19,-15.52,-41.65
180, MFT ,Mainframe,12857502,0.003265,3937700694,1272812,-0.35,-20,-48.93
181, PZM ,PRIZM,12836741,0.19393,66192643,16043,-0.07,9.08,48.73
182, IGNIS ,Ignis,12809008,0.016829,761143950,67365,-0.28,-11.1,-36.67
183, VTC ,Vertcoin,12690396,0.269951,47009911,130353,-0.36,-15.92,-38.93
184, PLR ,Pillar,12653545,0.04879,259348201,19161,-0.38,-14.36,-38.08
185, EMC2 ,Einsteinium,12593778,0.057783,217950226,584433,-0.58,-17.33,-34.81
186, WGR ,Wagerr,12577967,0.068732,183000000,12199,0.46,-7.62,-33.26
187, TEL ,Telcoin,12375546,0.000355,34851527175,96296,0.04,-22.01,-43.28
188, CRPT ,Crypterium,12245291,0.153264,79896520,2395125,-0.4,-14.48,-39.93
189, NEBL ,Neblio,12169338,0.884311,13761371,118710,-0.58,-18.1,-45.32
190, GNO ,Gnosis,12119234,10.97,1104590,251684,-0.39,-3.67,-22.5
191, POE ,Po.et,11925473,0.004974,2397663513,191613,-0.42,-17.77,-45.36
192, SKY ,Skycoin,11888820,1.19,9999999,294853,-0.29,-17.55,-44.46
193, APIS ,APIS,11873343,0.002436,4873324621,2227531,-0.1,-13.61,-28.24
194, BOX ,BOX Token,11770673,0.154701,76086481,2424792,-0.24,-13.57,-32.23
195, NOAH ,Noah Coin,11504610,0.000352,32687957978,184205,-0.3,-12.47,-31.6
196, HPB ,High Performa...,11234192,0.295461,38022632,1472508,0,-11.23,-44.03
197, RNT ,OneRoot Network,11230397,0.045332,247734355,140586,0.02,-9.06,-21.47
198, SBD ,Steem Dollars,11166166,0.844322,13225016,274322,-0.19,-2.99,-11.9
199, DATA ,Streamr DATAcoin,11127553,0.016433,677154514,449585,-0.57,-19.74,-45.67
200, BCO ,BridgeCoin,11108674,0.411432,27000000,14588,1.04,-14.97,-57.5
201, DDD ,Scry.info,11029833,0.025065,440057074,259548,-0.03,-8.88,-42.18
202, SAFEX ,Safe Exchange...,11027820,0.007146,1543157590,17558,-0.76,-13.34,-20.13
203, IOTX ,IoTeX,11022209,0.008281,1331040005,1056776,-0.17,-14.74,-37.53
204, TOMO ,TomoChain,11003805,0.200069,55000000,452875,-0.89,-20.8,-29.37
205, MDA ,Moeda Loyalty...,10882090,0.554392,19628888,1151577,-0.42,-17.37,-41.47
206, RDN ,Raiden Networ...,10874592,0.216544,50218936,279514,-0.34,-16.48,-46.67
207, AMO ,AMO Coin,10603281,0.001182,8972250815,216034,-0.18,-14.96,-42.79
208, QRL ,Quantum Resis...,10525178,0.202407,52000000,42392,0.15,-11.8,-19.76
209, NCASH ,Nucleus Vision,10417657,0.001889,5514808142,825724,-0.1,-15.77,-45.7
210, DIG ,Dignity,10402333,0.019888,523036421,172897,0.11,-11.78,-36.21
211, TCT ,TokenClub,10381563,0.021564,481425335,149976,-0.24,-7.25,-20.86
212, XWC ,WhiteCoin,10364986,0.041438,250134075,74047,0.01,-13.25,-29.73
213, EDR ,E-Dinar Coin,10362792,0.011693,886211988,536474,-0.44,-9.33,-25.27
214, SWM ,Swarm,10239424,0.158452,64621574,13609,0.3,-7.57,-7.72
215, CVT ,CyberVein,10225995,0.009643,1060404496,220412,-0.01,-7.28,-40.68
216, UNO ,Unobtanium,10210713,51.16,199567,23437,1.96,4.63,-6.73
217, SMT ,SmartMesh,10194529,0.007211,1413716694,59150,-0.52,-13.53,-43.51
218, UTK ,UTRUST,10169057,0.022598,450000000,130188,-0.21,-14.87,-40.39
219, REN ,Republic Prot...,10157558,0.016781,605286967,105302,-0.31,-13.14,-43.66
220, PART ,Particl,9991198,1.24,8069480,41040,-0.08,-8.28,-30.16
221, BLZ ,Bluzelle,9980028,0.051104,195288451,431705,0.33,-11.89,-45.04
222, MEDX ,MediBloc [ERC20],9971673,0.003144,3171448430,1337649,-0.34,-14.03,-43.96
223, PMA ,PumaPay,9947937,0.000594,16754856631,540806,0.25,-19.43,-37.25
224, LBA ,Cred,9931287,0.022003,451367097,585774,-0.27,-8.06,-47.56
225, RUFF ,Ruff,9827449,0.010449,940500000,244613,-0.58,-16.36,-44.24
226, BLOCK ,Blocknet,9772207,1.8,5443183,19071,-0.46,-17.27,-45.07
227, AMB ,Ambrosus,9754575,0.067463,144590975,340644,-0.1,-23.33,-49.31
228, RKT ,Rock,9701597,0.020201,480253525,6866,-0.45,36.32,-27.45
229, XYO ,XYO Network,9648994,0.001804,5350042446,12106,-0.14,-14.57,-35.01
230, ETHOS ,Ethos,9629664,0.114593,84033882,348003,-0.77,-21.49,-51.21
231, TNB ,Time New Bank,9607384,0.003906,2459435804,626027,-0.84,-19.83,-44.79
232, QNT ,Quant,9526897,0.974396,9777236,546018,0.09,-25.38,-54.86
233, UBQ ,Ubiq,9373729,0.219994,42609099,32506,-0.48,-17.66,-43.42
234, MOC ,Moss Coin,9334240,0.045502,205140154,50548,-0.45,-14.19,-24
235, QSP ,Quantstamp,9312618,0.015086,617314171,103364,-0.34,-17.16,-47.91
236, NLG ,Gulden,9287719,0.022378,415032420,50929,0.13,-5.87,-12.15
237, ZIP ,Zipper,9191823,0.000567,16199999812,1752800,-0.99,-23,-45.3
238, NAV ,NavCoin,9185831,0.144295,63660295,177663,-0.23,-19.31,-41.6
239, BURST ,Burst,9147437,0.004569,2002049388,64603,0.53,-11.29,-27.91
240, CPT ,Cryptaur,9134422,0.001244,7340211595,79468,-0.11,-13.81,-39.96
241, TMC ,Timicoin,9061434,0.02943,307892909,6878,-0.41,3.15,36.03
242, FTM ,Fantom,8942782,0.007042,1270000000,1598620,-0.41,-15.35,-55.85
243, ECOREAL ,Ecoreal Estate,8788258,0.055846,157364958,4749,0.24,75.44,-14.92
244, ANT ,Aragon,8773083,0.301452,29102723,95308,-0.34,-12.66,-48.69
245, OST ,OST,8679932,0.019885,436508173,182149,-0.41,-19.32,-45.54
246, LRN ,Loopring [NEO],8676669,0.076377,113602931,425351,0.27,-10.72,-19.46
247, SLS ,SaluS,8662802,8.56,1011566,5879,-0.74,-15.56,-42.59
248, LOC ,LockTrip,8647292,0.93052,9292966,344226,-0.17,-12.41,-31.12
249, TRXC ,TRONCLASSIC,8646661,1.9E-05,465107478370,896,-4.95,-25.19,280.47
250, RTH ,Rotharium,8635064,2.57,3357270,16788,-0.13,-11.39,-22.58
251, LOKI ,Loki,8595577,0.270486,31778244,12919,-0.09,-14.53,-33.89
252, SNM ,SONM,8561737,0.023809,359600000,144732,-0.29,-18,-45.96
253, PRO ,Propy,8516974,0.149405,57006067,251876,-0.67,-14.48,-43.97
254, TRUE ,TrueChain,8446926,0.181855,46448735,11118965,-0.65,-14.05,-40.21
255, APL ,Apollo Currency,8409369,0.000573,14685096531,328124,-2.05,-26.53,-49.99
256, BAY ,BitBay,8309624,0.00821,1012146906,13861,-0.06,-20.07,-41.64
257, TKN ,TokenCard,8297465,0.346879,23920372,8533,-0.5,-15.42,-25.71
258, LEO ,LEOcoin,8197327,0.080569,101743211,1274619,-0.39,-9.7,-21.47
259, NIX ,NIX,8186896,0.194921,42001018,21465,-0.67,-17.22,-41.45
260, TDP ,TrueDeck,8184667,0.814756,10045548,57157,-0.14,-13.19,-33.98
261, PAT ,Patron,8183364,0.033348,245394829,98960,-0.14,-21.57,51.67
262, DEC ,Darico Ecosys...,8138209,0.157889,51543807,8798,-0.46,-0.15,-4
263, LEND ,ETHLend,7955351,0.007231,1100180877,118656,-0.38,-17.4,-46.4
264, MTL ,Metal,7861827,0.241359,32573148,396103,-0.42,-16.49,-45.4
265, XDN ,DigitalNote,7860006,0.001134,6928822446,488863,-0.26,-19.12,-45.65
266, DEW ,DEW,7844712,0.075982,103244553,1843,0.93,-16.6,-39.55
267, POA ,POA Network,7770864,0.035295,220167290,296550,0.25,-11.24,-42.38
268, MED ,MediBloc [QRC20],7748858,0.002612,2966384100,16925,-0.99,-15.03,-35.88
269, NRG ,Energi,7741605,0.751539,10301006,9702,-0.14,-15.46,-40.28
270, STQ ,Storiqa,7736070,0.000788,9820877590,256485,-0.04,-15.42,-41.14
271, ABT ,Arcblock,7731591,0.080799,95688685,6426160,-0.31,-18.38,-44.8
272, VEE ,BLOCKv,7628235,0.003804,2005449183,5840,-0.05,-13.82,-44.25
273, MET ,Metronome,7607077,0.876281,8681096,276987,0.08,-11.17,-40.4
274, XSN ,Stakenet,7529546,0.101831,73941557,132104,-0.35,-9.11,-20.82
275, DMT ,DMarket,7522852,0.14981,50216064,349644,-0.74,-17.28,-42.28
276, AUTO ,Cube,7516109,0.001109,6774940000,914160,-0.04,-9.77,-30.59
277, UTT ,United Trader...,7489493,0.200578,37339525,1205,0.55,-14.69,-31.1
278, PHX ,Red Pulse Pho...,7482810,0.00902,829588687,1215063,-0.4,-17.14,-52.28
279, BZNT ,Bezant,7466386,0.015029,496808816,210196,-0.35,-24.18,-53.24
280, BITUSD ,bitUSD,7453771,0.959732,7766515,7251046,-0.36,-4.14,-4.41
281, BAX ,BABB,7369819,0.000351,20999999999,17922,0,-14.53,-35.39
282, TTC ,TTC Protocol,7354075,0.026272,279916427,671721,-0.57,-10.71,-49.67
283, MOBI ,Mobius,7299388,0.014201,514016636,230144,-0.45,-21.23,-38.6
284, QNTU ,Quanta Utilit...,7285156,0.000249,29279582414,18980,-1,-18.29,-46.52
285, BBR ,Boolberry,7243462,0.586432,12351756,4562,-0.34,-15.09,-39.38
286, MDS ,MediShares,7213371,0.006994,1031355785,67822,-0.31,-10.69,-36.28
287, COSM ,Cosmo Coin,7173024,0.010694,670780889,166978,-0.43,-15.46,-37.92
288, NGC ,NAGA,7057853,0.118778,59420636,26509,0.07,-12.7,-33.62
289, BCI ,Bitcoin Interest,6964906,0.380037,18326892,2750,0.52,-13.42,-36.08
290, SCRL ,SCRL,6960082,0.046182,150709044,196758,-0.38,-15.22,-30.37
291, WINGS ,Wings,6932358,0.071092,97513094,137947,-0.38,-19.22,-47.88
292, KEY ,Selfkey,6916674,0.00279,2479024642,492118,-0.18,-18.26,-45.51
293, SNGLS ,SingularDTV,6878018,0.011463,600000000,206959,-0.16,-19.06,-46.69
294, DTA ,DATA,6869952,0.000947,7255189844,817437,-0.41,-19.34,-45.3
295, XBY ,XTRABYTES,6827458,0.015878,430000000,5030,-0.01,-14.52,-38.98
296, ACT ,Achain,6826932,0.009103,749980919,309019,-0.33,-12.68,-48.43
297, WABI ,WaBi,6713573,0.12793,52478516,174342,0.23,-13.9,-37.91
298, MOD ,Modum,6669554,0.313622,21266200,151657,-0.38,-18.51,-48.31
299, COV ,Covesting,6663791,0.380788,17500000,15796,-0.41,-16.21,-49.04
300, ZCL ,ZClassic,6656819,1.24,5355726,109176,0.47,-12.54,-35.57
301, VIA ,Viacoin,6631631,0.286987,23107812,131624,-0.68,-19.78,-48.05
302, EOSDAC ,eosDAC,6625577,0.010027,660755177,65719,-0.49,-22.95,-35.74
303, SOC ,All Sports,6615802,0.004511,1466525363,285001,0.2,-14.19,-41.09
304, TTU ,TaTaTu,6549255,0.067708,96727971,34606,-0.25,-11.31,-44.34
305, IOG ,Playgroundz,6541253,0.23572,27750120,49692,0.17,-13.61,-29.86
306, ZRC ,ZrCoin,6490548,1.65,3940458,4436,-0.09,-2.92,-19.38
307, PAI ,PCHAIN,6482231,0.008738,741806114,416556,-0.5,-15.62,-48.76
308, CSC ,CasinoCoin,6442449,0.000179,35973085511,4709,0.08,-16.26,-25.74
309, WPR ,WePower,6435480,0.012588,511233886,253658,-0.17,-15.84,-51.05
310, CAS ,Cashaa,6410784,0.011184,573222738,53101,0.4,-6.92,-24.49
311, AU ,AurumCoin,6386894,21.43,298083,767,-0.07,-12.57,-30.31
312, REPO ,REPO,6373142,0.057959,109958607,11366,-0.45,-21.85,-44.54
